"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,4.022145271E-2,9.824228287E-2,1.445221901E-1,1.793208712E-1
4.943848000E-3,1.060817242E-1,1.802983284E-1,3.315610886E-1,3.920377212E-1
9.918213000E-3,4.497361183E-2,1.608681679E-1,3.514008522E-1,3.890806499E-1
1.489257800E-2,2.890825272E-2,1.194553375E-1,3.948712349E-1,4.135559900E-1
1.983642600E-2,3.347325325E-2,1.232852936E-1,4.507884979E-1,4.685402781E-1
2.481079100E-2,1.164808273E-1,1.288852692E-1,5.465154648E-1,5.734617241E-1
2.978515700E-2,1.162927151E-1,8.339691162E-2,5.204520226E-1,5.397678651E-1
3.475952200E-2,4.589533806E-2,1.188755035E-3,4.356775284E-1,4.380898355E-1
3.973388700E-2,-1.431655884E-1,-4.585075378E-2,2.624115944E-1,3.024211008E-1
4.467773500E-2,-1.995146275E-1,2.728080750E-2,1.169791222E-1,2.328828977E-1
4.965210000E-2,-2.055687904E-1,1.098718643E-1,-4.872417450E-2,2.381268556E-1
5.462646500E-2,-4.854400158E-1,5.581235886E-2,-1.830482483E-1,5.217985143E-1
5.957031300E-2,-4.513425827E-1,1.285033226E-1,-1.965069771E-1,5.087614597E-1
6.454467800E-2,-4.947313070E-1,8.864831924E-2,-2.020144463E-1,5.416894195E-1
6.951904300E-2,-3.842080832E-1,3.704881668E-2,-1.330909729E-1,4.082911621E-1
7.449340900E-2,-2.086002827E-1,9.394645691E-2,-7.977485657E-2,2.422891711E-1
7.946777400E-2,-2.595227957E-1,1.703925133E-1,-3.951549530E-2,3.129651169E-1
8.441162100E-2,-2.515479326E-1,1.160397530E-1,-5.203437805E-2,2.818672794E-1
8.938598700E-2,-4.276406765E-2,-1.374397278E-1,5.458450317E-2,1.539412623E-1
9.432983400E-2,1.895270348E-1,-2.476253510E-1,3.059349060E-1,4.368466299E-1
9.930420000E-2,4.233330488E-1,-1.872534752E-1,6.204395294E-1,7.740929814E-1
1.042785650E-1,5.321639776E-1,6.542015076E-2,3.056516647E-1,6.171719658E-1
1.092529300E-1,5.273650885E-1,1.493749619E-1,1.537485123E-1,5.692674422E-1
1.142272950E-1,5.337054729E-1,8.454513550E-2,2.388238907E-1,5.907844468E-1
1.191711430E-1,5.486279726E-1,9.112071991E-2,2.629251480E-1,6.151628007E-1
1.241455080E-1,5.516364574E-1,1.166448593E-1,2.411365509E-1,6.132337569E-1
1.291198730E-1,5.311563015E-1,1.228690147E-1,2.223758698E-1,5.887909976E-1
1.340637210E-1,5.177979469E-1,1.485776901E-1,2.024307251E-1,5.754721907E-1
1.390380860E-1,5.173385143E-1,1.298570633E-1,1.605081558E-1,5.570142398E-1
1.440124510E-1,4.990240335E-1,1.621470451E-1,7.266044617E-2,5.297133100E-1
1.489868170E-1,4.912486076E-1,1.814999580E-1,3.228092194E-2,5.246994256E-1
1.539611820E-1,4.729301929E-1,1.568570137E-1,4.431343079E-2,5.002307171E-1
1.589355470E-1,4.521359205E-1,1.015739441E-1,3.639793396E-2,4.648321916E-1
1.638793950E-1,4.173160791E-1,6.232261658E-2,2.721118927E-2,4.228206088E-1
1.688232420E-1,3.954924345E-1,2.059984207E-2,1.001272202E-1,4.084899992E-1
1.737976080E-1,3.592578769E-1,-4.926729202E-2,1.831884384E-1,4.062652977E-1
1.787719730E-1,3.099525571E-1,-4.308366776E-2,2.642440796E-1,4.095750525E-1
1.837463380E-1,2.334233522E-1,8.702278137E-3,2.827968597E-1,3.667918414E-1
1.886901860E-1,2.086989880E-1,-3.312587738E-2,2.879428864E-1,3.571606041E-1
1.936645510E-1,1.289007068E-1,-3.475379944E-2,3.494319916E-1,3.740667528E-1
1.986389160E-1,1.006107330E-1,-8.856296539E-2,3.638257980E-1,3.877307439E-1
2.036132820E-1,6.356066465E-2,-1.384210587E-1,3.871526718E-1,4.160379056E-1
2.085571290E-1,9.281635284E-3,-1.687297821E-1,3.905916214E-1,4.255792556E-1
2.135314940E-1,-7.153242826E-3,-1.592984200E-1,3.410072327E-1,3.764479887E-1
2.185058600E-1,-1.930892467E-3,-1.459465027E-1,2.551879883E-1,2.939813248E-1
