"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.409088135E0,2.639602661E0,1.066496277E1
2.502441000E-3,-1.611999512E0,2.603103638E0,1.090797424E1
4.974365000E-3,-1.696395874E0,2.551620483E0,1.090797424E1
7.476806000E-3,-1.778396606E0,2.510314941E0,1.094569397E1
9.948730000E-3,-1.851425171E0,2.494155884E0,1.100553894E1
1.245117200E-2,-1.891525269E0,2.422927856E0,1.105761719E1
1.492309500E-2,-1.868179321E0,2.448669434E0,1.114680481E1
1.742553700E-2,-1.905899048E0,2.382232666E0,1.111088562E1
1.989746100E-2,-1.947784424E0,2.299026489E0,1.116894531E1
2.236938400E-2,-1.919067383E0,2.318191528E0,1.114859009E1
2.484130800E-2,-1.867584229E0,2.300827026E0,1.112525940E1
2.734375000E-2,-1.864593506E0,2.322982788E0,1.103846741E1
2.981567300E-2,-1.809524536E0,2.236785889E0,1.101213074E1
3.231811500E-2,-1.765228271E0,2.245162964E0,1.093132019E1
3.482055600E-2,-1.689819336E0,2.223022461E0,1.083496094E1
3.729248000E-2,-1.641326904E0,2.176330566E0,1.070626831E1
3.979492200E-2,-1.517425537E0,2.118865967E0,1.062007141E1
4.226684500E-2,-1.481521606E0,2.078765869E0,1.047283936E1
4.473876900E-2,-1.368988037E0,2.073974609E0,1.026393127E1
4.721069300E-2,-1.334274292E0,2.027893066E0,1.016398621E1
4.971313400E-2,-1.324691772E0,2.049438477E0,9.941925049E0
5.218505800E-2,-1.296569824E0,2.045852661E0,9.790481567E0
5.468750000E-2,-1.248687744E0,1.991973877E0,9.573211670E0
5.715942300E-2,-1.229522705E0,1.932128906E0,9.405609131E0
5.966186500E-2,-1.238510132E0,1.944091797E0,9.242218018E0
6.213378900E-2,-1.266036987E0,1.973419189E0,9.038711548E0
6.460571300E-2,-1.237915039E0,2.020111084E0,8.841186523E0
6.710815400E-2,-1.279205322E0,2.043457031E0,8.684356689E0
6.958007800E-2,-1.300750732E0,2.062011719E0,8.553878784E0
7.205200200E-2,-1.359420776E0,2.117675781E0,8.382095337E0
7.455444300E-2,-1.396530151E0,2.096725464E0,8.280944824E0
7.702636700E-2,-1.453979492E0,2.131439209E0,8.197738647E0
7.949829100E-2,-1.560531616E0,2.169143677E0,8.111557007E0
8.200073200E-2,-1.596435547E0,2.175140381E0,8.075637817E0
8.447265600E-2,-1.731719971E0,2.185302734E0,8.066665649E0
8.697509700E-2,-1.758056641E0,2.200271606E0,7.957122803E0
8.944702100E-2,-1.829879761E0,2.217636108E0,7.936172485E0
9.191894500E-2,-1.899902344E0,2.206253052E0,7.862548828E0
9.442138600E-2,-1.978912354E0,2.202667236E0,7.874526978E0
9.689331000E-2,-2.015426636E0,2.169754028E0,7.766189575E0
9.936523400E-2,-2.084854126E0,2.200866699E0,7.666824341E0
1.018676750E-1,-2.153686523E0,2.224212646E0,7.640487671E0
1.043395990E-1,-2.198577881E0,2.217025757E0,7.568069458E0
1.068420410E-1,-2.267410278E0,2.233795166E0,7.548309326E0
1.093139650E-1,-2.328460693E0,2.259521484E0,7.492645264E0
1.117858880E-1,-2.350616455E0,2.309814453E0,7.438781738E0
1.142883300E-1,-2.347030640E0,2.367874146E0,7.424407959E0
1.167602540E-1,-2.288970947E0,2.364273071E0,7.373535156E0
1.192626950E-1,-2.381134033E0,2.370254517E0,7.385513306E0
1.217346190E-1,-2.443984985E0,2.294250488E0,7.325653076E0
1.242065430E-1,-2.436203003E0,2.416946411E0,7.469909668E0
1.267089840E-1,-2.474517822E0,2.478591919E0,7.447158813E0
1.291809080E-1,-2.429626465E0,2.464828491E0,7.480682373E0
1.316528320E-1,-2.434417725E0,2.539657593E0,7.515991211E0
1.341552730E-1,-2.332656860E0,2.604888916E0,7.509414673E0
1.366271970E-1,-2.285369873E0,2.568984985E0,7.545318604E0
1.390991210E-1,-2.227905273E0,2.555816650E0,7.592010498E0
1.416015620E-1,-2.164459229E0,2.601898193E0,7.624923706E0
1.440734860E-1,-2.084854126E0,2.606094360E0,7.711120605E0
1.465759270E-1,-2.040573120E0,2.570770264E0,7.774566650E0
1.490478510E-1,-1.967544556E0,2.584548950E0,7.891876221E0
1.515197750E-1,-1.855606079E0,2.565994263E0,8.009796143E0
1.540222160E-1,-1.800552368E0,2.518707275E0,8.128311157E0
1.564941400E-1,-1.766433716E0,2.473815918E0,8.298294067E0
1.589660640E-1,-1.732910156E0,2.425323486E0,8.316848755E0
1.614685060E-1,-1.620986938E0,2.333145142E0,8.341995239E0
1.639404290E-1,-1.562927246E0,2.316986084E0,8.422195435E0
1.664428710E-1,-1.351638794E0,2.236190796E0,8.786712646E0
1.689147950E-1,-1.409698486E0,2.204467773E0,8.689147949E0
1.713867180E-1,-1.411483765E0,2.085357666E0,8.598770142E0
1.738891600E-1,-1.432434082E0,2.082962036E0,8.685562134E0
1.763610840E-1,-1.442016602E0,2.076965332E0,8.529937744E0
1.788330070E-1,-1.568908691E0,2.178726196E0,8.272567749E0
1.813354490E-1,-1.452789307E0,2.144012451E0,8.346176147E0
1.838073730E-1,-1.494689941E0,2.282867432E0,8.561660767E0
1.863098140E-1,-1.553344727E0,2.477996826E0,8.483856201E0
1.887817380E-1,-1.538375854E0,2.477996826E0,8.532928467E0
1.912536620E-1,-1.590454102E0,2.498352051E0,8.316848755E0
1.937561030E-1,-1.733505249E0,2.557601929E0,7.845794678E0
1.962280270E-1,-1.476730347E0,2.407363892E0,8.486236572E0
1.986999510E-1,-1.351028442E0,2.488769531E0,8.455718994E0
2.012023920E-1,-1.209182739E0,2.431320190E0,8.749603271E0
2.036743160E-1,-1.070907593E0,2.415756226E0,8.692749023E0
2.061462400E-1,-1.062530518E0,2.364273071E0,8.736434937E0
2.086486810E-1,-9.625701904E-1,2.188308716E0,8.793899536E0
2.111206050E-1,-1.063125610E0,2.169143677E0,8.752593994E0
2.136230470E-1,-1.043380737E0,2.089538574E0,8.792694092E0
2.160949700E-1,-1.075103760E0,2.034469604E0,8.763366699E0
2.185668940E-1,-1.151123047E0,1.945892334E0,8.783721924E0
2.210693360E-1,-1.223541260E0,2.017715454E0,8.793304443E0
2.235412590E-1,-1.337860107E0,2.048248291E0,8.875900269E0
2.260131830E-1,-1.456985474E0,2.075775146E0,8.892059326E0
2.285156250E-1,-1.681442261E0,2.166748047E0,8.840591431E0
2.309875480E-1,-1.702987671E0,2.170944214E0,8.850753784E0
2.334899900E-1,-1.781997681E0,2.208053589E0,8.992019653E0
2.359619140E-1,-1.740097046E0,2.194885254E0,9.022537231E0
2.384338380E-1,-1.735305786E0,2.230194092E0,9.068038940E0
2.409362790E-1,-1.674850464E0,2.148193359E0,8.994415283E0
2.434082030E-1,-1.672454834E0,2.167358398E0,9.099761963E0
2.458801270E-1,-1.618591309E0,2.208053589E0,9.093765259E0
2.483825680E-1,-1.627563477E0,2.230194092E0,9.219467163E0
2.508544920E-1,-1.626968384E0,2.158966064E0,9.106338501E0
2.533569330E-1,-1.649719238E0,2.123062134E0,9.208099365E0
2.558288570E-1,-1.685623169E0,2.120071411E0,9.180557251E0
2.583007810E-1,-1.676651001E0,2.123657227E0,9.135070801E0
2.608032220E-1,-1.663482666E0,2.125457764E0,9.088378906E0
2.632751460E-1,-1.659881592E0,2.137420654E0,9.105743408E0
2.657470700E-1,-1.697601318E0,2.155380249E0,9.124298096E0
2.682495110E-1,-1.679046631E0,2.130844116E0,9.058456421E0
2.707214350E-1,-1.665267944E0,2.182907104E0,9.036911011E0
2.732238770E-1,-1.607208252E0,2.212844849E0,8.981246948E0
2.756958000E-1,-1.582077026E0,2.260131836E0,8.926773071E0
2.781677240E-1,-1.564117432E0,2.297241211E0,8.875305176E0
2.806701660E-1,-1.479125977E0,2.312805176E0,8.866317749E0
2.831420900E-1,-1.509048462E0,2.318191528E0,8.844772339E0
2.856140130E-1,-1.535385132E0,2.358291626E0,8.786117554E0
2.881164550E-1,-1.537780762E0,2.366073608E0,8.789108276E0
2.905883790E-1,-1.550949097E0,2.389419556E0,8.721466064E0
2.930908200E-1,-1.558731079E0,2.426528931E0,8.715484619E0
2.955627440E-1,-1.635345459E0,2.416946411E0,8.692138672E0
2.980346680E-1,-1.677246094E0,2.464828491E0,8.717880249E0
3.005371090E-1,-1.685028076E0,2.517501831E0,8.630493164E0
3.030090330E-1,-1.759841919E0,2.512710571E0,8.558670044E0
3.054809570E-1,-1.812515259E0,2.537857056E0,8.501205444E0
3.079833980E-1,-1.852020264E0,2.634826660E0,8.517959595E0
3.104553220E-1,-1.954971313E0,2.639602661E0,8.446731567E0
3.129577630E-1,-2.016616821E0,2.676116943E0,8.398254395E0
3.154296870E-1,-2.041763306E0,2.634826660E0,8.363540649E0
3.179016110E-1,-2.110000610E0,2.659957886E0,8.304885864E0
3.204040520E-1,-2.110000610E0,2.608489990E0,8.282730103E0
3.228759760E-1,-2.144119263E0,2.573760986E0,8.210311890E0
