"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.816711426E0,3.167526245E0,9.057861328E0
2.502442000E-3,-1.832870483E0,3.184890747E0,9.130874634E0
4.974365000E-3,-1.738296509E0,3.128021240E0,9.069229126E0
7.446289000E-3,-1.656295776E0,3.144180298E0,9.141052246E0
9.918213000E-3,-1.577285767E0,3.119049072E0,9.161407471E0
1.242065500E-2,-1.465362549E0,3.135208130E0,9.136276245E0
1.489257800E-2,-1.353424072E0,3.091506958E0,9.099151611E0
1.739502000E-2,-1.220550537E0,3.074157715E0,9.119506836E0
1.986694400E-2,-1.184631348E0,3.108276367E0,9.142257690E0
2.233886700E-2,-1.112808228E0,3.102890015E0,9.083602905E0
2.481079100E-2,-1.031402588E0,3.107070923E0,9.068038940E0
2.731323300E-2,-9.709625244E-1,3.116653442E0,9.073425293E0
2.981567400E-2,-8.644104004E-1,3.101684570E0,9.000396729E0
3.231811500E-2,-8.476562500E-1,3.125625610E0,8.973464966E0
3.479003900E-2,-8.153381348E-1,3.095703125E0,9.019546509E0
3.726196300E-2,-7.680511475E-1,3.113662720E0,8.957901001E0
3.973388700E-2,-6.782684326E-1,3.116058350E0,8.905822754E0
4.223632800E-2,-6.459503174E-1,3.111267090E0,8.923782349E0
4.470825200E-2,-6.327819824E-1,3.118453979E0,8.894454956E0
4.721069400E-2,-5.651397705E-1,3.143585205E0,8.904037476E0
4.968261700E-2,-5.513763428E-1,3.156158447E0,8.954315186E0
5.215454100E-2,-5.585479736E-1,3.122634888E0,8.980651855E0
5.462646500E-2,-5.872802734E-1,3.058593750E0,8.997406006E0
5.712890600E-2,-5.549621582E-1,3.062789917E0,9.014770508E0
5.960083000E-2,-5.705261230E-1,3.063980103E0,9.044097900E0
6.210327200E-2,-5.998535156E-1,3.097503662E0,9.112930298E0
6.457519600E-2,-5.825042725E-1,3.049011230E0,9.140457153E0
6.707763700E-2,-6.297760010E-1,3.093307495E0,9.144653320E0
6.954956100E-2,-6.638946533E-1,3.081344604E0,9.210494995E0
