"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.126818657E-1,-2.522873878E-2,1.006841660E-1,1.532024588E-1
4.974365000E-3,-1.532393694E-1,-1.243996620E-2,1.419115067E-1,2.092269887E-1
9.948730000E-3,-1.686837673E-1,1.684284210E-2,1.506347656E-1,2.267790275E-1
1.489257800E-2,-1.706149578E-1,2.270507812E-2,1.273756027E-1,2.141250302E-1
1.986694300E-2,-1.983510256E-1,2.698326111E-2,1.131486893E-1,2.299431487E-1
2.484130800E-2,-1.788269281E-1,3.609418869E-3,6.014633179E-2,1.887052711E-1
2.981567300E-2,-1.364297867E-1,3.051829338E-2,3.793048859E-2,1.448557037E-1
3.475952100E-2,-1.377574205E-1,6.827235222E-2,8.175468445E-2,1.741322756E-1
3.973388600E-2,-1.176613569E-1,9.166169167E-2,1.127185822E-1,1.869533081E-1
4.470825200E-2,-8.116400242E-2,8.485579491E-2,1.493101120E-1,1.899516011E-1
4.968261700E-2,-6.332957745E-2,7.641220093E-2,1.764631271E-1,2.024566499E-1
5.465698200E-2,-3.066408634E-2,7.130742073E-2,2.089614868E-1,2.229123985E-1
5.960083000E-2,-2.510428429E-3,1.018764973E-1,2.219629288E-1,2.442389500E-1
6.454467700E-2,1.125355959E-1,1.145005226E-1,2.678451538E-1,3.122749693E-1
6.948852500E-2,1.650291681E-1,7.893919945E-2,3.535547256E-1,3.980790971E-1
7.446289000E-2,2.307943106E-1,4.740905762E-2,3.884067535E-1,4.542834344E-1
7.943725600E-2,1.995000839E-1,4.287362099E-2,3.869829178E-1,4.374862392E-1
8.441162100E-2,1.977863312E-1,4.227757454E-2,3.680820465E-1,4.199895464E-1
8.935546800E-2,1.663348675E-1,2.607297897E-2,3.620605469E-1,3.992930352E-1
9.432983400E-2,1.421748400E-1,3.499197960E-2,3.366899490E-1,3.671488057E-1
9.930419900E-2,1.276149750E-1,3.652930260E-2,2.908582687E-1,3.197162872E-1
1.042785640E-1,9.503209591E-2,-3.414392471E-3,2.228202820E-1,2.422635660E-1
1.092529290E-1,7.282757759E-2,-1.094341278E-3,1.693620682E-1,1.843598757E-1
1.141967770E-1,5.461835861E-2,9.686231613E-3,1.406869888E-1,1.512276992E-1
1.191711420E-1,3.660559654E-3,1.966691017E-2,1.206760406E-1,1.223229081E-1
1.241455070E-1,1.415073872E-2,1.610755920E-2,1.233625412E-1,1.252118742E-1
1.291198730E-1,-9.114980698E-3,-1.838922501E-2,5.596637726E-2,5.961108834E-2
1.340637200E-1,2.426922321E-2,-1.353287697E-2,9.284019470E-3,2.929721782E-2
1.390380860E-1,6.004738808E-2,-9.938955307E-3,-3.594875336E-2,7.068793755E-2
1.440124510E-1,1.185290813E-1,-2.514481544E-2,-5.603885651E-2,1.334981584E-1
1.489562980E-1,1.118334532E-1,-4.626631737E-2,-3.786277771E-2,1.268104227E-1
1.539306640E-1,1.107068062E-1,8.577585220E-3,-2.374362946E-2,1.135488082E-1
1.589050290E-1,1.149705648E-1,7.282924652E-2,-4.207515717E-2,1.424522684E-1
1.638793940E-1,8.020305634E-2,4.953455925E-2,-6.748199463E-2,1.159311106E-1
1.688537590E-1,4.821515083E-2,1.618695259E-2,-9.743499756E-2,1.099104042E-1
1.737976070E-1,2.281010151E-2,1.811504364E-2,-1.033515930E-1,1.073778716E-1
1.787719720E-1,-9.460687637E-3,4.211139679E-2,-6.422328949E-2,7.737897171E-2
1.837463380E-1,-3.054034710E-2,5.381202698E-2,-4.008483887E-2,7.372408938E-2
1.886901850E-1,-6.483328342E-2,2.035593987E-2,-4.358291626E-3,6.809341843E-2
1.936645500E-1,-3.474807739E-2,-5.844831467E-3,7.703781128E-3,3.606853450E-2
1.986389160E-1,-1.933693886E-2,-3.834033012E-2,8.358955383E-3,4.374665991E-2
2.036132810E-1,5.813670158E-2,1.945257187E-3,3.768253326E-2,6.930824922E-2
2.085571290E-1,9.172332287E-2,-1.282453537E-3,6.114768982E-2,1.102445129E-1
2.135314940E-1,8.526933193E-2,-1.738071442E-4,3.201484680E-2,9.108149973E-2
2.185058590E-1,4.493379593E-2,2.754306793E-2,8.845520020E-2,1.029659606E-1
2.234802240E-1,-7.716417313E-3,-2.202343941E-2,2.059478760E-1,2.072657777E-1
2.284240720E-1,-1.077055931E-2,-3.532981873E-2,2.226657867E-1,2.257083375E-1
2.333984370E-1,1.253128052E-3,-2.741265297E-2,2.169723511E-1,2.187007659E-1
2.383728020E-1,1.802515984E-2,-4.971599579E-2,2.121238708E-1,2.186163837E-1
2.433471680E-1,1.827037334E-2,-2.705264091E-2,1.705169678E-1,1.736136176E-1
2.482910150E-1,-3.390610218E-2,-3.322601318E-2,7.937622070E-2,9.248878921E-2
2.532653810E-1,-3.189647198E-2,-3.653979301E-2,-4.081726074E-3,4.867444798E-2
2.582397460E-1,3.762960434E-3,-4.821014404E-2,-1.135673523E-1,1.234338745E-1
2.632141110E-1,-1.058280468E-2,-3.807497025E-2,-1.470260620E-1,1.522444154E-1
2.681579590E-1,-5.572187901E-2,-2.402877808E-2,-1.706047058E-1,1.810753313E-1
2.731323240E-1,-7.054722309E-2,-1.544141769E-2,-1.521425247E-1,1.684122795E-1
2.781066890E-1,-9.313666821E-2,-9.454488754E-3,-1.982002258E-1,2.191966146E-1
2.830810540E-1,-9.269940853E-2,9.371995926E-3,-1.970806122E-1,2.179949136E-1
2.880249020E-1,-8.891713619E-2,1.447868347E-2,-2.108335495E-1,2.292742353E-1
2.929992670E-1,-1.389868259E-1,3.678679466E-2,-1.397037506E-1,2.004688105E-1
