"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
0.000000000E0,-8.428955078E-2,-2.475128174E-1,8.795166016E-2,2.758673914E-1
2.502442000E-3,-8.216857910E-2,-2.496490479E-1,9.220886230E-2,2.785297054E-1
4.974366000E-3,-8.323669434E-2,-2.528381348E-1,1.028594971E-1,2.853691396E-1
7.446290000E-3,-7.896423340E-2,-2.592315674E-1,1.103210449E-1,2.925868907E-1
9.918213000E-3,-7.577514648E-2,-2.549743652E-1,1.103210449E-1,2.879662006E-1
1.239013700E-2,-7.151794434E-2,-2.528381348E-1,1.145782471E-1,2.866532984E-1
1.489257900E-2,-6.298828125E-2,-2.421875000E-1,1.167144775E-1,2.761242076E-1
1.736450200E-2,-5.659484863E-2,-2.294006348E-1,1.220397949E-1,2.659348410E-1
1.986694400E-2,-4.701232910E-2,-2.123565674E-1,1.209716797E-1,2.488767126E-1
2.233886800E-2,-3.742980957E-2,-1.942443848E-1,1.199035645E-1,2.313195548E-1
2.481079100E-2,-2.571105957E-2,-1.782684326E-1,1.188354492E-1,2.157835875E-1
2.731323300E-2,-1.824951172E-2,-1.558990479E-1,1.209716797E-1,1.981708987E-1
2.978515700E-2,-1.078796387E-2,-1.377868652E-1,1.209716797E-1,1.836729367E-1
3.228759800E-2,1.983642578E-3,-1.143646240E-1,1.188354492E-1,1.649395831E-1
3.475952200E-2,1.477050781E-2,-9.518432617E-2,1.188354492E-1,1.529708725E-1
3.723144600E-2,1.797485352E-2,-7.707214355E-2,1.156463623E-1,1.401331217E-1
3.973388700E-2,2.755737305E-2,-6.109619141E-2,1.135101318E-1,1.318207246E-1
4.220581100E-2,3.607177734E-2,-4.405212402E-2,1.124420166E-1,1.260355896E-1
4.467773500E-2,4.460144043E-2,-2.487182617E-2,1.081848145E-1,1.196321458E-1
4.718017600E-2,4.992675781E-2,-8.895874023E-3,1.060485840E-1,1.175504993E-1
4.965210000E-2,5.632019043E-2,7.080078125E-3,1.039276123E-1,1.184189172E-1
5.212402400E-2,6.057739258E-2,1.667785645E-2,9.860229492E-2,1.169195619E-1
5.462646500E-2,6.164550781E-2,2.200317383E-2,9.860229492E-2,1.183499931E-1
5.709838900E-2,6.483459473E-2,2.732849121E-2,9.327697754E-2,1.168373470E-1
5.957031300E-2,6.378173828E-2,3.158569336E-2,8.900451660E-2,1.139630209E-1
6.207275400E-2,6.378173828E-2,3.158569336E-2,9.007263184E-2,1.147991514E-1
6.454467800E-2,6.271362305E-2,3.691101074E-2,8.688354492E-2,1.133321296E-1
6.704712000E-2,5.950927734E-2,3.477478027E-2,9.220886230E-2,1.151221687E-1
6.951904300E-2,5.950927734E-2,3.051757812E-2,8.900451660E-2,1.113305018E-1
7.199096700E-2,5.632019043E-2,2.626037598E-2,9.007263184E-2,1.094287449E-1
7.449340900E-2,4.992675781E-2,1.560974121E-2,9.220886230E-2,1.060132985E-1
7.696533200E-2,5.099487305E-2,7.080078125E-3,9.114074707E-2,1.046768377E-1
7.946777400E-2,4.353332520E-2,-3.662109375E-4,9.646606445E-2,1.058347112E-1
8.193969800E-2,3.927612305E-2,-1.422119141E-2,9.646606445E-2,1.051216330E-1
8.441162200E-2,3.713989258E-2,-2.380371094E-2,9.432983398E-2,1.041350366E-1
8.691406300E-2,3.288269043E-2,-3.552246094E-2,9.539794922E-2,1.069760968E-1
8.938598700E-2,2.862548828E-2,-4.937744141E-2,9.539794922E-2,1.111679766E-1
9.188842800E-2,2.542114258E-2,-5.577087402E-2,9.860229492E-2,1.160992569E-1
9.436035200E-2,2.223205566E-2,-6.002807617E-2,9.753417969E-2,1.166642637E-1
9.683227600E-2,2.009582520E-2,-6.535339355E-2,9.646606445E-2,1.182396288E-1
9.933471700E-2,1.690673828E-2,-7.388305664E-2,9.646606445E-2,1.226794418E-1
1.018066410E-1,1.583862305E-2,-7.814025879E-2,9.967041016E-2,1.276360164E-1
1.042785650E-1,8.377075195E-3,-7.920837402E-2,9.967041016E-2,1.275865689E-1
1.067810060E-1,5.187988281E-3,-8.239746094E-2,9.646606445E-2,1.269722741E-1
1.092529300E-1,3.051757812E-3,-8.132934570E-2,9.646606445E-2,1.262120331E-1
1.117248540E-1,3.051757812E-3,-8.560180664E-2,9.646606445E-2,1.290065274E-1
1.142272950E-1,3.051757812E-3,-8.879089355E-2,9.539794922E-2,1.303606717E-1
1.166992190E-1,1.983642578E-3,-9.092712402E-2,9.327697754E-2,1.302776698E-1
1.192016610E-1,4.119873047E-3,-9.518432617E-2,9.114074707E-2,1.318471277E-1
1.216735840E-1,4.119873047E-3,-9.411621094E-2,9.007263184E-2,1.303376903E-1
1.241455080E-1,6.256103516E-3,-9.411621094E-2,8.688354492E-2,1.282409855E-1
1.266479500E-1,1.158142090E-2,-8.985900879E-2,8.688354492E-2,1.255289654E-1
1.291198740E-1,1.264953613E-2,-9.092712402E-2,8.795166016E-2,1.271347599E-1
1.315917970E-1,1.690673828E-2,-9.092712402E-2,8.688354492E-2,1.268949568E-1
1.340942390E-1,2.009582520E-2,-9.197998047E-2,8.367919922E-2,1.259617695E-1
1.365661630E-1,2.330017090E-2,-8.665466309E-2,8.367919922E-2,1.226953014E-1
1.390380860E-1,2.648925781E-2,-8.453369141E-2,8.155822754E-2,1.204133308E-1
1.415405280E-1,2.862548828E-2,-8.665466309E-2,8.155822754E-2,1.223936015E-1
1.440124520E-1,3.074645996E-2,-8.560180664E-2,8.155822754E-2,1.221669292E-1
1.465148930E-1,3.288269043E-2,-8.026123047E-2,7.942199707E-2,1.176052298E-1
1.489868170E-1,3.713989258E-2,-8.239746094E-2,7.728576660E-2,1.189193126E-1
1.514587410E-1,4.460144043E-2,-8.985900879E-2,7.516479492E-2,1.253542035E-1
1.539611820E-1,5.950927734E-2,-9.304809570E-2,7.090759277E-2,1.312523863E-1
1.564331060E-1,5.845642090E-2,-1.005096436E-1,6.770324707E-2,1.345476542E-1
1.589355470E-1,6.057739258E-2,-9.304809570E-2,6.663513184E-2,1.294905765E-1
1.614074710E-1,6.590270996E-2,-9.411621094E-2,6.344604492E-2,1.312494913E-1
1.638793950E-1,6.378173828E-2,-9.197998047E-2,6.130981445E-2,1.276217861E-1
1.663818360E-1,6.164550781E-2,-8.239746094E-2,6.344604492E-2,1.208921454E-1
1.688537600E-1,6.378173828E-2,-7.174682617E-2,6.130981445E-2,1.139061480E-1
1.713256840E-1,6.378173828E-2,-6.428527832E-2,5.491638184E-2,1.059080551E-1
1.738281250E-1,6.590270996E-2,-5.683898926E-2,5.065917969E-2,1.006985122E-1
1.763000490E-1,6.378173828E-2,-5.044555664E-2,4.747009277E-2,9.416089438E-2
1.787719730E-1,6.483459473E-2,-4.298400879E-2,4.852294922E-2,9.168220267E-2
1.812744150E-1,6.697082520E-2,-4.084777832E-2,4.640197754E-2,9.114151601E-2
1.837463380E-1,6.697082520E-2,-3.979492188E-2,4.319763184E-2,8.907728459E-2
1.862487800E-1,6.483459473E-2,-3.979492188E-2,3.787231445E-2,8.497924854E-2
1.887207040E-1,6.910705566E-2,-3.019714355E-2,3.147888184E-2,8.172253437E-2
1.911926270E-1,7.015991211E-2,-2.487182617E-2,2.722167969E-2,7.925932658E-2
1.936950690E-1,7.015991211E-2,-2.380371094E-2,3.254699707E-2,8.092179521E-2
1.961669930E-1,7.229614258E-2,-1.635742188E-2,2.510070801E-2,7.825818184E-2
1.986389160E-1,7.122802734E-2,-7.827758789E-3,1.763916016E-2,7.379597318E-2
2.011413580E-1,6.803894043E-2,3.890991211E-3,1.870727539E-2,7.067106466E-2
2.036132820E-1,7.229614258E-2,1.347351074E-2,1.763916016E-2,7.562676573E-2
2.060852060E-1,7.229614258E-2,1.560974121E-2,1.550292969E-2,7.556941896E-2
2.085876470E-1,7.336425781E-2,1.879882812E-2,1.550292969E-2,7.730492282E-2
2.110595710E-1,7.336425781E-2,1.986694336E-2,1.763916016E-2,7.802659632E-2
2.135620120E-1,7.336425781E-2,2.412414551E-2,1.763916016E-2,7.921760342E-2
2.160339360E-1,7.122802734E-2,2.519226074E-2,1.550292969E-2,7.712601837E-2
2.185058600E-1,6.483459473E-2,2.093505859E-2,1.443481445E-2,6.964312759E-2
2.210083010E-1,6.590270996E-2,2.412414551E-2,1.443481445E-2,7.164848529E-2
2.234802250E-1,6.803894043E-2,2.093505859E-2,1.550292969E-2,7.285543852E-2
2.259521490E-1,6.910705566E-2,1.986694336E-2,1.338195801E-2,7.314066845E-2
2.284545900E-1,6.697082520E-2,1.347351074E-2,1.231384277E-2,6.941367043E-2
2.309265140E-1,6.057739258E-2,1.133728027E-2,1.124572754E-2,6.264679404E-2
2.334289560E-1,6.164550781E-2,1.133728027E-2,1.017761230E-2,6.350028622E-2
2.359008790E-1,6.378173828E-2,1.133728027E-2,1.124572754E-2,6.575036464E-2
2.383728030E-1,6.164550781E-2,1.560974121E-2,1.338195801E-2,6.498391689E-2
