"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,1.296539307E-1,-4.375610352E-1,-3.593750000E-1
2.502442000E-3,1.466979980E-1,-4.343566895E-1,-3.625640869E-1
4.974366000E-3,1.648101807E-1,-4.077301025E-1,-3.540496826E-1
7.476807000E-3,1.925048828E-1,-3.683166504E-1,-3.487243652E-1
9.948731000E-3,2.212677002E-1,-3.289031982E-1,-3.455200195E-1
1.242065500E-2,2.457733154E-1,-2.894897461E-1,-3.444671631E-1
1.489257800E-2,2.681427002E-1,-2.458190918E-1,-3.487243652E-1
1.739502000E-2,2.883758545E-1,-1.968078613E-1,-3.476562500E-1
1.986694400E-2,3.086242676E-1,-1.488800049E-1,-3.455200195E-1
2.236938500E-2,3.235321045E-1,-1.030731201E-1,-3.433990479E-1
2.484130900E-2,3.363189697E-1,-6.259155273E-2,-3.465881348E-1
2.734375000E-2,3.448333740E-1,-1.890563965E-2,-3.455200195E-1
2.981567400E-2,3.533630371E-1,2.369689941E-2,-3.433990479E-1
3.228759800E-2,3.565521240E-1,6.417846680E-2,-3.433990479E-1
3.479003900E-2,3.597564697E-1,1.131896973E-1,-3.380737305E-1
3.726196300E-2,3.597564697E-1,1.547241211E-1,-3.359375000E-1
3.973388700E-2,3.512268066E-1,1.877441406E-1,-3.263549805E-1
4.223632800E-2,3.416442871E-1,2.186431885E-1,-3.178253174E-1
4.470825200E-2,3.267211914E-1,2.463378906E-1,-3.125000000E-1
4.718017600E-2,3.160705566E-1,2.665863037E-1,-3.071746826E-1
4.968261700E-2,3.022308350E-1,2.761688232E-1,-2.997131348E-1
5.215454100E-2,2.883758545E-1,2.825622559E-1,-2.933349609E-1
5.465698300E-2,2.819824219E-1,2.846832275E-1,-2.826690674E-1
5.712890700E-2,2.692108154E-1,2.751007080E-1,-2.741546631E-1
5.960083000E-2,2.606811523E-1,2.548675537E-1,-2.677612305E-1
6.210327200E-2,2.510986328E-1,2.356872559E-1,-2.635040283E-1
6.457519600E-2,2.425689697E-1,2.154541016E-1,-2.581787109E-1
6.704711900E-2,2.340545654E-1,1.898803711E-1,-2.528533936E-1
6.954956100E-2,2.265930176E-1,1.579284668E-1,-2.443237305E-1
7.202148500E-2,2.170104980E-1,1.238403320E-1,-2.379302979E-1
7.452392600E-2,2.063598633E-1,8.654785156E-2,-2.336730957E-1
7.699585000E-2,1.988983154E-1,4.927062988E-2,-2.272796631E-1
7.946777400E-2,1.850433350E-1,1.091003418E-2,-2.176971436E-1
8.197021500E-2,1.701354980E-1,-2.955627441E-2,-2.155609131E-1
8.444213900E-2,1.573486328E-1,-7.536315918E-2,-2.102355957E-1
8.694458000E-2,1.424407959E-1,-1.243743896E-1,-2.091674805E-1
8.941650400E-2,1.243286133E-1,-1.744384766E-1,-2.070465088E-1
9.188842800E-2,1.051483154E-1,-2.308959961E-1,-1.995849609E-1
9.439086900E-2,9.130859375E-2,-2.884216309E-1,-1.921234131E-1
9.686279300E-2,7.319641113E-2,-3.310394287E-1,-1.857299805E-1
9.933471700E-2,5.722045898E-2,-3.651275635E-1,-1.740112305E-1
1.018371590E-1,4.229736328E-2,-4.002685547E-1,-1.708221436E-1
1.043090820E-1,2.738952637E-2,-4.386291504E-1,-1.665649414E-1
1.067810060E-1,1.353454590E-2,-4.705810547E-1,-1.591033936E-1
1.092834480E-1,7.629394531E-4,-4.982757568E-1,-1.548461914E-1
1.117553710E-1,-9.902954102E-3,-5.249176025E-1,-1.548461914E-1
1.142578130E-1,-2.799987793E-2,-5.568695068E-1,-1.537780762E-1
1.167297370E-1,-3.865051270E-2,-5.867004395E-1,-1.548461914E-1
1.192016600E-1,-4.504394531E-2,-6.165313721E-1,-1.548461914E-1
1.217041020E-1,-4.931640625E-2,-6.484832764E-1,-1.612396240E-1
