"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,-2.587890625E-2,-2.362213135E-1,1.133728027E-2
2.471924000E-3,-3.013610840E-2,-2.372894287E-1,1.666259766E-2
4.943848000E-3,-3.013610840E-2,-2.181091309E-1,9.201049805E-3
7.415771000E-3,-3.439331055E-2,-1.957397461E-1,7.080078125E-3
9.918213000E-3,-4.292297363E-2,-1.755065918E-1,7.080078125E-3
1.239013700E-2,-4.824829102E-2,-1.542053223E-1,7.080078125E-3
1.489257800E-2,-5.676269531E-2,-1.318359375E-1,4.943847656E-3
1.736450200E-2,-6.208801270E-2,-1.041259766E-1,3.875732422E-3
1.983642600E-2,-6.208801270E-2,-8.175659180E-2,-3.814697266E-4
2.230834900E-2,-6.848144531E-2,-5.194091797E-2,-3.570556641E-3
2.481079100E-2,-7.061767578E-2,-2.850341797E-2,-5.706787109E-3
2.728271500E-2,-7.168579102E-2,-3.997802734E-3,-6.774902344E-3
2.978515600E-2,-7.168579102E-2,2.157592773E-2,-1.103210449E-2
3.225708000E-2,-6.954956055E-2,4.499816895E-2,-1.103210449E-2
3.475952100E-2,-6.636047363E-2,6.524658203E-2,-1.635742188E-2
3.723144500E-2,-6.422424316E-2,7.908630371E-2,-1.635742188E-2
3.970336900E-2,-6.636047363E-2,8.761596680E-2,-1.528930664E-2
4.220581000E-2,-6.208801270E-2,9.614562988E-2,-1.528930664E-2
4.467773400E-2,-5.569458008E-2,1.025238037E-1,-1.742553711E-2
4.714965800E-2,-4.931640625E-2,1.014709473E-1,-1.742553711E-2
4.965209900E-2,-4.824829102E-2,9.719848633E-2,-1.423645020E-2
5.212402300E-2,-3.971862793E-2,9.187316895E-2,-1.103210449E-2
5.459594700E-2,-3.120422363E-2,8.761596680E-2,-8.895874023E-3
5.709838900E-2,-2.374267578E-2,7.376098633E-2,-9.963989258E-3
5.957031200E-2,-1.734924316E-2,5.992126465E-2,-3.570556641E-3
6.207275400E-2,-7.766723633E-3,4.713439941E-2,-3.814697266E-4
6.454467800E-2,3.952026367E-3,3.009033203E-2,-3.814697266E-4
6.701660100E-2,1.567077637E-2,1.304626465E-2,1.754760742E-3
6.951904300E-2,2.313232422E-2,-9.323120117E-3,2.822875977E-3
